log name,loss,perplexity,bits per word,Activation Distance,Synaptic Saliency,Jacobian Covariance,Jacobian Cosine,Large Noise Jacobian,Large Noise Jacobian Cosine,More Noised Jacobian,More Noised Jacobian Cosine,Hidden Synaptic Saliency,Layer 1 Hidden Covariance,Layer 2 Hidden Covariance,Layer 3 Hidden Covariance
log_stats_model_1010907_2020-04-22_19-19-10_999969948.json,4.595532167,99.04082782,6.629951468,545.6377225,1883262.75,-71.07775414,0.521383063,1.334439219,0.997595158,11615359.91,0.077067966,72196.21094,-1109.703661,-1262.008779,-2024.182731
log_stats_model_1010908_2020-04-16_20-42-02_999904003.json,4.806248045,122.2719967,6.933950219,306.9768011,16298054,-71.10383844,0.500000559,272329.6615,0.999999825,1.76E+23,0.062502694,462779.7188,-1097664.657,-22055939.52,-32943014.35
log_stats_model_1010909_2020-04-19_18-04-44_999900834.json,4.7520429,115.820653,6.855748726,536.926619,1443021.625,-71.0927014,0.507536812,14.22414718,0.998913456,106968708.6,0.068581567,42936.79688,-2080.032925,-30413.35108,-168892.4744
log_stats_model_1010911_2020-04-11_15-13-18_999936279.json,6.284739078,536.3243334,9.066961901,536.0009174,645666.0625,-71.1297057,0.508239393,12.79509003,0.998751838,77610988.07,0.069221227,43713.33203,-2025.511347,-350209.5017,-2019309.723
log_stats_model_1010912_2020-04-14_11-04-22_999978284.json,6.526513553,683.012768,9.415768738,396.5538971,1676016.75,-71.1297057,0.500146226,957.9180769,0.999986966,1.61E+15,0.062646001,216478.8594,-10985529.84,-49029668.26,-38732947.79
log_stats_model_1010914_2020-04-14_05-04-46_999906291.json,4.902758848,134.6607763,7.073185877,524.0684426,1112008.375,-71.09883815,0.500000515,341889.1953,0.999999789,3.66E+22,0.062513392,142904.0625,-4856.468943,-6354.27531,-2495.603657
log_stats_model_1010915_2020-04-23_22-24-13_999903834.json,4.827884711,124.9463832,6.965165331,468.1654339,20143934,-71.09883815,0.500005352,53301.68447,0.999998231,4.67E+19,0.062527724,397252.0938,-34987.57972,-178336.044,-237016.6409
log_stats_model_1010918_2020-04-16_07-11-30_999906085.json,4.811031008,122.8582201,6.940850577,513.2699592,478911.5625,-71.08312952,0.511634121,5.542720111,0.998747079,34289104.86,0.070852305,50230.49609,-805939.6584,-12819659.42,-13770893.63
log_stats_model_1010919_2020-04-15_23-42-20_999913422.json,4.695410867,109.4437663,6.774045973,543.6541277,492498.625,-71.09883815,0.51724296,2.542156972,0.998037246,15251359.85,0.075041524,35183.14844,-2080.976108,-44364.43032,-929623.0492
log_stats_model_1010920_2020-04-15_05-01-32_999944620.json,4.948627361,140.9813146,7.139360153,415.5742323,17216234,-71.07995704,0.500576701,249.5395866,0.999926412,3.13E+12,0.063030707,587216,-4125947.615,-22664568.48,-25870404.73
log_stats_model_1010925_2020-04-11_07-45-29_999992662.json,4.790228983,120.3289187,6.910839598,449.3834097,8819497,-71.0927014,0.500005562,51366.80441,0.999998186,4.26E+19,0.062528224,507133.4375,-493996.8171,-7035991.193,-11814049.55
log_stats_model_1010926_2020-04-15_09-31-52_999963592.json,4.622797697,101.7783793,6.669287313,555.6246395,876662.9375,-71.12382814,0.513928941,4.144820369,0.998411725,22635710.18,0.072629333,43275.78125,-2473.264362,-4026.63686,-5911.166548
log_stats_model_1010927_2020-04-20_04-44-20_999992784.json,4.660347355,105.6727818,6.723460018,456.5598258,10161332,-71.08996444,0.502130575,64.68460809,0.999703149,11253980305,0.064395197,332525,-14134.04584,-90212.71436,-161643.9498
log_stats_model_1010928_2020-04-14_00-20-53_999968239.json,4.906752207,135.1996002,7.078947076,555.6314631,3962582.75,-71.08292706,0.501529861,66.0699371,0.999852795,1.06E+11,0.063459731,192437.8281,-3989.47436,-4987.364201,-2187.02428
log_stats_model_1010929_2020-04-21_02-01-41_999906099.json,4.697587985,109.6822978,6.777186891,558.0223303,1591952.5,-71.07856609,0.508778405,8.621732313,0.999049179,75482920.01,0.06859655,71213.10938,-8044.336898,-26069.02348,-99454.2507
log_stats_model_1010931_2020-04-23_02-19-19_999975591.json,4.729078571,113.1912166,6.822618202,482.3031974,29755270,-71.04543528,0.502141226,65.40418202,0.999704261,11095021427,0.064434672,717967.6875,-60401.98262,-453701.9766,-709830.7459
log_stats_model_1010932_2020-04-13_10-08-31_999928947.json,6.318277007,554.6165684,9.115346905,274.4855332,4958868.5,-71.1440389,0.500091442,2451.198485,0.999987057,6.30E+15,0.062626169,215218.3125,-5864373.581,-37084090.32,-36681045.07
log_stats_model_1010935_2020-04-23_19-22-25_999938580.json,4.852944976,128.1171367,7.00131965,536.4282887,1935594.125,-71.1297057,0.500567242,251.7653004,0.999924958,4.33E+12,0.062941034,87612.46094,-15929.781,-44562.71614,-61859.21411
log_stats_model_1010936_2020-04-14_18-35-04_999920076.json,4.730440306,113.3454581,6.824582771,483.0426332,4190018.5,-71.13976749,0.501651466,59.95568118,0.99984562,90497596128,0.063473842,806668.5,-601133.8556,-12342887.97,-25034345.82
log_stats_model_1010937_2020-04-16_16-05-02_999968855.json,4.928430354,138.1624758,7.11022203,545.8166897,1983326.625,-71.08292706,0.500000093,360411.4241,0.999999956,2.45E+24,0.06250239,121666.8594,-7352.502831,-8099.620246,-2942.655544
log_stats_model_1010938_2020-04-17_08-14-08_999969341.json,4.804641575,122.0757282,6.931632574,319.5651731,1003947.063,-71.07856609,0.500000045,203866.8881,0.999999977,2.25E+25,0.062500409,821398.9375,-10567784.22,-27093467.95,-30561895.89
log_stats_model_1010939_2020-04-24_12-25-17_999915717.json,4.662153522,105.8638169,6.726065766,553.5958045,1525126.125,-71.08703309,0.512499222,4.783798534,0.998679165,29208932.11,0.071214768,63706.32031,-9988.710709,-57484.37587,-258465.1187
log_stats_model_1010942_2020-04-24_11-30-33_999959265.json,4.84435887,127.0218184,6.988932518,326.9020372,11342850,-71.09398773,0.500001307,140630.195,0.999999666,1.67E+22,0.062504279,509321.4063,-5069219.8,-32708261.4,-35090953.24
log_stats_model_1010944_2020-04-22_07-41-35_999968203.json,4.719718266,112.1366556,6.809114137,501.1257402,9030097,-71.01271806,0.509810055,6.414909337,0.999073958,57794809.25,0.068980313,267360.9375,-39038.82113,-2831084.473,-4892212.733
log_stats_model_1010946_2020-04-24_12-31-46_999957078.json,5.017333392,151.008087,7.238482003,348.8562684,1627044.25,-71.09739636,0.500000839,226215.3913,0.999999742,1.33E+23,0.062501769,818101.3125,-7188505.968,-25299452.04,-30309741.79
log_stats_model_1010947_2020-04-18_04-23-39_999952307.json,4.968134908,143.7585143,7.167503594,559.2784976,2233197.5,-71.1297057,0.500000103,361750.6438,0.999999953,2.49E+24,0.062502192,113814.8906,-12364.91062,-13967.74209,-4265.564953
log_stats_model_1010948_2020-04-23_00-10-40_999989484.json,4.86734631,129.975544,7.022096384,489.7011585,24243680,-71.13723408,0.500277785,630.8240526,0.99995424,5.32E+13,0.062777313,957022.0625,-73865.3722,-165229.4291,-72170.99122
log_stats_model_1010949_2020-04-14_10-24-52_999965750.json,6.306651291,548.2060891,9.098574543,410.8675721,9083035,-71.0927014,0.500002209,112819.7747,0.99999929,1.39E+21,0.06251158,398919.9688,-6315373.675,-45158756.58,-38260838.65
log_stats_model_1010950_2020-04-11_01-50-46_999937355.json,4.915315202,136.3622847,7.091300867,553.9072365,1346246.625,-71.10726427,0.500000428,390167.1561,0.999999805,5.19E+22,0.062513234,141882.6094,-4786.739597,-6074.642831,-2481.745072
log_stats_model_1010951_2020-04-22_23-21-17_999955780.json,4.822110963,124.2270529,6.956835573,391.7779469,4298122.5,-71.12382814,0.500000625,263081.0796,0.999999797,1.13E+23,0.062503177,810389.625,-1591581.833,-17722861.08,-27839670.82
log_stats_model_1010952_2020-04-16_21-18-42_999943676.json,4.888198112,132.7142223,7.052179175,539.5453502,2323321.75,-71.08292706,0.500000288,411214.5167,0.999999873,1.60E+23,0.062508337,107979.2344,-6146.989485,-9893.393001,-6129.344058
log_stats_model_1010954_2020-04-18_06-51-46_999947551.json,4.86249283,129.3462387,7.015094292,526.6549407,389452.1875,-71.0927014,0.514479957,3.762521036,0.998356944,20262723.83,0.073630558,29220.55078,-7602.577978,-1928408.624,-12002263.43
log_stats_model_1010956_2020-04-16_23-15-03_999902060.json,4.813127833,123.1161024,6.943875655,332.3647959,2564293.25,-71.08880176,0.500007481,35046.76984,0.999998109,7.56E+19,0.062511796,354852.4063,-3217852.351,-27539433.25,-33015283.14
log_stats_model_1010957_2020-04-21_18-24-42_999916904.json,4.906693542,135.191669,7.07886244,307.6683966,4603908.5,-71.1297057,0.500291978,722.4470059,0.999974145,1.57E+14,0.062801414,200618.625,-2539958.238,-38026513.47,-37983441.88
log_stats_model_1010960_2020-04-21_17-54-55_999988818.json,4.72904272,113.1871587,6.82256648,520.3972648,908555.25,-71.08312952,0.518153881,2.060554702,0.998041408,14577125.14,0.074675817,63981.67578,-1532.321011,-2379.010735,-4340.909497
log_stats_model_1010962_2020-04-20_14-44-58_999908204.json,4.629178834,102.4299176,6.678493347,525.0292863,7474970,-71.09883815,0.500084163,3358.246763,0.999975296,9.89E+14,0.062837208,242961.3438,-4890.939351,-7317.852593,-3565.747389
log_stats_model_1010963_2020-04-10_23-57-48_999960680.json,4.959362437,142.5029124,7.154847594,443.4993476,8608249,-71.12382814,0.500007519,38256.37439,0.999997575,1.45E+19,0.062534372,667131,-920422.9294,-2426274.889,-960427.9284
log_stats_model_1010964_2020-04-22_05-13-14_999977898.json,4.770495368,117.9776699,6.882370011,375.7286315,4775271,-71.13976749,0.500004124,67529.88919,0.999998642,1.55E+20,0.062518442,849016.625,-432048.9506,-9986350.437,-23776255.39
log_stats_model_1010968_2020-04-22_20-36-07_999950017.json,4.60415205,99.8982382,6.64238733,531.2331539,24593736,-71.09148987,0.500034047,8909.067563,0.999988992,3.54E+16,0.062652805,578600,-7360.850187,-23334.01852,-21991.80995
log_stats_model_1010969_2020-04-13_08-46-08_999983414.json,6.469439757,645.1222002,9.333428654,382.7152919,2326084.25,-71.1440389,0.500004659,58589.76674,0.999998523,9.16E+19,0.062521752,780331.3125,-1344229.69,-26511664.78,-36160230.8
log_stats_model_1010970_2020-04-10_18-42-47_999993080.json,4.942374516,140.1025307,7.130339205,386.0464439,2172103.5,-71.08292706,0.500002819,57687.18545,0.999999536,2.82E+21,0.062504277,823596.875,-8767842.891,-26876565.03,-30863540.77
log_stats_model_1010973_2020-04-21_04-25-16_999942739.json,4.759191124,116.6515311,6.866061434,277.1990719,7937917,-71.07374255,0.500002945,87904.62118,0.999999063,5.49E+20,0.062513321,292251.125,-1012749.437,-29324042.45,-36711439.87
