ID,GLUE Score,Synaptic Diversity,Synaptic Diversity Normalized,Synaptic Saliency,Synaptic Saliency Normalized,Activation Distance,Activation Distance Normalized,Jacobian Score,Jacobian Score Normalized,Number of Parameters,Head Importance,Head Importance Normalized,Head Confidence,Head Confidence Normalized,Head Softmax Confidence,Head Softmax Confidence Normalized
285,64.03375,0.7161484360694885,0.14322969317436218,0.002962503582239151,0.0004937506164424121,182285189120.0,137262944.0,-100326.00950997179,0.5686820207108642,7486720,0.0034440706949681044,0.0008610176737420261,3.0539653301239014,0.7634913325309753,0.06281942874193192,0.03140971437096596
285,64.03375,0.7174340486526489,0.14348681271076202,0.002939441241323948,0.0004899068735539913,183244603392.0,137159136.0,-100319.06561586546,0.5686349225912182,7486720,0.00347411772236228,0.00086852943059057,6.1050801277160645,0.7631350159645081,0.125613734126091,0.03140343353152275
285,64.03375,0.71846604347229,0.143693208694458,0.0029809807892888784,0.0004968301509507,184438423552.0,137230976.0,-100316.62083480154,0.5684209742429044,7486720,0.0034835420083254576,0.0008708855020813644,9.163287162780762,0.7636072635650635,0.1884470283985138,0.03140783682465553
285,64.03375,0.7179551124572754,0.1435910165309906,0.002947710221633315,0.0004912850563414395,185492717568.0,137198752.0,-100317.6072897356,0.5689735181650142,7486720,0.0034800481516867876,0.0008700120379216969,12.215303421020508,0.7634564638137817,0.25130489468574524,0.031413111835718155
285,64.03375,0.7204481363296509,0.14408962428569794,0.0029693376272916794,0.0004948896239511669,186611105792.0,137214048.0,-100325.23953835065,0.5683724179219207,7486720,0.003502936102449894,0.0008757340256124735,15.263772964477539,0.7631886601448059,0.31407296657562256,0.031407296657562256
285,64.03375,0.7244483828544617,0.1448896825313568,0.0030145307537168264,0.0005024218116886914,187655192576.0,137174848.0,-100320.0338393259,0.5688967843938098,7486720,0.0034817915875464678,0.0008704478968866169,18.32244110107422,0.7634350657463074,0.3767334818840027,0.03139445558190346
285,64.03375,0.707392692565918,0.1414785385131836,0.002926458138972521,0.0004877430328633636,188691464192.0,137130432.0,-100308.49338412897,0.5692038774493176,7486720,0.0034274032805114985,0.0008568508201278746,21.37798500061035,0.7634994387626648,0.43984583020210266,0.03141755983233452
285,64.03375,0.7204505205154419,0.14409010112285614,0.0029313371051102877,0.0004885561647824943,189859495936.0,137181712.0,-100315.92257765765,0.5687819103880719,7486720,0.0034946417436003685,0.0008736604359000921,24.426376342773438,0.7633242607116699,0.5023407340049744,0.0313962958753109
285,64.03375,0.7288222312927246,0.14576444029808044,0.0030558528378605843,0.000509308825712651,190931025920.0,137163088.0,-100318.01405810333,0.5687120926096275,7486720,0.003522017039358616,0.000880504259839654,27.47364044189453,0.7631566524505615,0.5652047991752625,0.03140026703476906
285,64.03375,0.7181277275085449,0.14362554252147675,0.00296235759742558,0.0004937262856401503,191988613120.0,137134720.0,-100320.23338683258,0.568885010373113,7486720,0.003467814065515995,0.0008669535163789988,30.53854751586914,0.7634636759757996,0.6285141110420227,0.031425707042217255
116,64.495,1.2537672519683838,0.2507534623146057,0.007977310568094254,0.0019943276420235634,108799369216.0,154544560.0,-100650.44238163168,0.5590220445046905,5387520,0.006412126123905182,0.0016030315309762955,1.2889597415924072,0.3222399353981018,0.06284775584936142,0.03142387792468071
