ID,GLUE Score,Synaptic Diversity,Synaptic Diversity Normalized,Synaptic Saliency,Synaptic Saliency Normalized,Activation Distance,Activation Distance Normalized,Jacobian Score,Jacobian Score Normalized,Number of Parameters,Head Importance,Head Importance Normalized,Head Confidence,Head Confidence Normalized,Head Softmax Confidence,Head Softmax Confidence Normalized
285,64.03375,0.7215355038642883,0.14430710673332214,0.002958048600703478,0.0004930081195198,6585219072.0,137192064.0,-100321.64045232534,0.5687834466729833,7486720,0.0035022953525185585,0.0008755738381296396,3.0538015365600586,0.7634503841400146,0.06281693279743195,0.03140846639871597
285,64.03375,0.7314928770065308,0.1462985724210739,0.003026105696335435,0.0005043509299866855,7682407424.0,137185840.0,-100322.02612180803,0.568453923727446,7486720,0.0035469247959554195,0.0008867311989888549,6.109825134277344,0.763728141784668,0.12560498714447021,0.031401246786117554
285,64.03375,0.7355088591575623,0.1471017748117447,0.003000213298946619,0.0005000355304218829,8779771904.0,137183936.0,-100318.60580229809,0.5685689481497961,7486720,0.0035489341244101524,0.0008872335311025381,9.164076805114746,0.7636730670928955,0.18837542831897736,0.03139590471982956
285,64.03375,0.7215127348899841,0.14430254697799683,0.0029885657131671906,0.0004980943049304187,9878490112.0,137201248.0,-100317.67697138224,0.5686222048828646,7486720,0.0035002974327653646,0.0008750743581913412,12.211311340332031,0.763206958770752,0.2513177990913391,0.03141472488641739
285,64.03375,0.7276042699813843,0.14552085101604462,0.00302554527297616,0.0005042575648985803,10975014912.0,137187680.0,-100323.75816534054,0.5685716776506422,7486720,0.0035155408550053835,0.0008788852137513459,15.270736694335938,0.763536810874939,0.3140335977077484,0.03140335902571678
285,64.03375,0.7236727476119995,0.14473454654216766,0.002961818827316165,0.0004936364712193608,12065104896.0,137103472.0,-100320.88746307547,0.5686400230373909,7486720,0.0034862663596868515,0.0008715665899217129,18.31757926940918,0.7632324695587158,0.37687355279922485,0.03140613064169884
285,64.03375,0.7227419018745422,0.14454838633537292,0.0029955029021948576,0.0004992504836991429,13165949952.0,137145312.0,-100323.6944944567,0.5684277596487363,7486720,0.003491432638838887,0.0008728581597097218,21.372440338134766,0.763301432132721,0.4398019313812256,0.031414423137903214
285,64.03375,0.7309769988059998,0.1461953967809677,0.0030320300720632076,0.0005053383647464216,14262526976.0,137139680.0,-100325.23617369836,0.5683601003382271,7486720,0.00355568272061646,0.000888920680154115,24.440454483032227,0.7637642025947571,0.5025379657745361,0.03140862286090851
285,64.03375,0.7298509478569031,0.1459701955318451,0.002987258369103074,0.0004978763754479587,15364050944.0,137179024.0,-100322.68507852363,0.5688984463127355,7486720,0.0035389340482652187,0.0008847335120663047,27.485605239868164,0.7634890079498291,0.5654746294021606,0.03141525760293007
285,64.03375,0.7268441915512085,0.14536884427070618,0.0029682021122425795,0.0004947003326378763,16453272576.0,137110608.0,-100313.65830661972,0.5685397420559718,7486720,0.0035219250712543726,0.0008804812678135931,30.536745071411133,0.7634186148643494,0.6283604502677917,0.03141802176833153
116,64.495,1.2288271188735962,0.24576541781425476,0.007838040590286255,0.0019595101475715637,9888828416.0,154512944.0,-100636.29103014436,0.5592668447907292,5387520,0.00622845534235239,0.0015571138355880976,1.2886927127838135,0.32217317819595337,0.06283588707447052,0.03141794353723526
116,64.495,1.298879861831665,0.25977596640586853,0.008265954442322254,0.0020664886105805635,10507022336.0,154515040.0,-100691.49564707976,0.5586844363391635,5387520,0.006642140913754702,0.0016605352284386754,2.576962471008301,0.3221203088760376,0.1257164180278778,0.03142910450696945
116,64.495,1.3098599910736084,0.26197201013565063,0.008404091000556946,0.0021010227501392365,11131583488.0,154605328.0,-100704.94119617842,0.5589708219655413,5387520,0.006904501933604479,0.0017261254834011197,3.8681957721710205,0.3223496377468109,0.18856245279312134,0.03142707422375679
116,64.495,1.2743430137634277,0.25486859679222107,0.008055935613811016,0.002013983903452754,11761737728.0,154759712.0,-100638.85721165747,0.5595587744550061,5387520,0.006604189518839121,0.0016510473797097802,5.15286922454834,0.32205432653427124,0.2513885796070099,0.031423572450876236
116,64.495,1.297534465789795,0.25950688123703003,0.00829782709479332,0.00207445677369833,12372400128.0,154655008.0,-100642.91778324524,0.5595197045946023,5387520,0.006682397332042456,0.001670599333010614,6.4412970542907715,0.3220648467540741,0.31430870294570923,0.03143087029457092
116,64.495,1.2376881837844849,0.24753764271736145,0.007990757934749126,0.0019976894836872816,12973878272.0,154450928.0,-100668.40578341718,0.5599557424715429,5387520,0.006219749338924885,0.0015549373347312212,7.735230445861816,0.3223012685775757,0.37690606713294983,0.03140883892774582
116,64.495,1.273902177810669,0.25478044152259827,0.008124217391014099,0.0020310543477535248,13613467648.0,154698496.0,-100668.09561818189,0.5596216060108539,5387520,0.006481077987700701,0.0016202694969251752,9.02149772644043,0.3221963346004486,0.4399179220199585,0.03142270818352699
116,64.495,1.3099390268325806,0.2619878053665161,0.008434375748038292,0.002108593937009573,14221708288.0,154583792.0,-100702.16616555913,0.5588899429727946,5387520,0.006788905709981918,0.0016972264274954796,10.313132286071777,0.32228538393974304,0.5029245615005493,0.03143278509378433
116,64.495,1.2950654029846191,0.2590130865573883,0.008377047255635262,0.0020942618139088154,14849660928.0,154683968.0,-100655.67249538114,0.559644096617667,5387520,0.006677556782960892,0.001669389195740223,11.596781730651855,0.32213282585144043,0.5656164884567261,0.031423136591911316
116,64.495,1.2819077968597412,0.2563815712928772,0.00803766492754221,0.0020094162318855524,15458612224.0,154586128.0,-100654.29224347981,0.5594499479556192,5387520,0.006591349374502897,0.0016478373436257243,12.895459175109863,0.3223864734172821,0.6285736560821533,0.031428683549165726
280,66.2025,0.7393556833267212,0.14787113666534424,0.004005569498986006,0.000667594897095114,31559663616.0,151729152.0,-100319.07501269325,0.5687717228274353,7486720,0.003584945807233453,0.0008962364518083632,3.022486686706543,0.7556216716766357,0.017724957317113876,0.008862478658556938
280,66.2025,0.7461411952972412,0.14922824501991272,0.004105196334421635,0.0006841993890702724,32778065920.0,151750304.0,-100314.31001374082,0.5686125195250293,7486720,0.0036199637688696384,0.0009049909422174096,6.045400142669678,0.7556750178337097,0.03544854372739792,0.00886213593184948
280,66.2025,0.7460665702819824,0.14921331405639648,0.004103665705770254,0.0006839442648924887,33987305472.0,151729040.0,-100320.33005105263,0.5687290463689632,7486720,0.0036302737426012754,0.0009075684356503189,9.062108039855957,0.7551756501197815,0.053166382014751434,0.008861063979566097
280,66.2025,0.7435312271118164,0.14870624244213104,0.004046379588544369,0.0006743965786881745,35204067328.0,151741664.0,-100316.83209560602,0.568545198062028,7486720,0.0036229908000677824,0.0009057477000169456,12.084403991699219,0.7552752494812012,0.07091666013002396,0.008864582516252995
280,66.2025,0.7454959154129028,0.1490991860628128,0.004040267318487167,0.0006733778864145279,36412510208.0,151718800.0,-100322.76833947275,0.5687227347265211,7486720,0.003629472339525819,0.0009073680848814547,15.106743812561035,0.7553371787071228,0.08861885219812393,0.008861885406076908
280,66.2025,0.7364592552185059,0.1472918540239334,0.004083325155079365,0.0006805541925132275,37636407296.0,151759712.0,-100317.34170064225,0.5681256621386417,7486720,0.0035971153993159533,0.0008992788498289883,18.122533798217773,0.7551055550575256,0.10634848475456238,0.008862373419106007
280,66.2025,0.7415902614593506,0.14831805229187012,0.004071896895766258,0.0006786494632251561,38826270720.0,151665120.0,-100324.34666643516,0.5681916418453656,7486720,0.0036163106560707092,0.0009040776640176773,21.146448135375977,0.7552303075790405,0.12405179440975189,0.008860842324793339
280,66.2025,0.7422128915786743,0.1484425812959671,0.004094908479601145,0.0006824847660027444,40051683328.0,151710928.0,-100324.12607472311,0.5687235417738088,7486720,0.0036311198491603136,0.0009077799622900784,24.183513641357422,0.7557348012924194,0.14179874956607819,0.008862421847879887
280,66.2025,0.7360116839408875,0.14720234274864197,0.004045531153678894,0.0006742551922798157,41256726528.0,151679136.0,-100318.32649782102,0.56848898678975,7486720,0.0036024898290634155,0.0009006224572658539,27.195388793945312,0.7554274797439575,0.15951675176620483,0.008862041868269444
280,66.2025,0.7349470853805542,0.14698942005634308,0.004087621811777353,0.0006812703213654459,42486517760.0,151737568.0,-100318.6827754131,0.5685073966792189,7486720,0.003591204294934869,0.0008978010737337172,30.219484329223633,0.7554870843887329,0.1772274225950241,0.00886137131601572
337,67.12875000000001,0.07848964631557465,0.007848965004086494,0.00981528963893652,0.00245382240973413,25259925504.0,175416144.0,-100259.8395732896,0.5687302511628539,5555977,0.0009485679329372942,0.00013550970470532775,2.8541760444641113,0.47569599747657776,0.004077766090631485,0.0020388830453157425
337,67.12875000000001,0.08032470941543579,0.008032470941543579,0.009635007940232754,0.0024087519850581884,25910624256.0,175071792.0,-100266.24727943867,0.5684836664360744,5555977,0.0009589104447513819,0.00013698720431420952,5.708689212799072,0.47572410106658936,0.008155811578035355,0.0020389528945088387
337,67.12875000000001,0.07727722823619843,0.007727722637355328,0.009754486382007599,0.0024386215955018997,26689640448.0,175589744.0,-100264.76474270684,0.5686255045560656,5555977,0.0009053417015820742,0.00012933452671859413,8.569978713989258,0.47610992193222046,0.012233912944793701,0.00203898549079895
337,67.12875000000001,0.07879194617271423,0.007879194803535938,0.009824888780713081,0.0024562221951782703,27387291648.0,175559568.0,-100264.54216058344,0.5679898581778708,5555977,0.0009249079739674926,0.00013212971680331975,11.418394088745117,0.4757664203643799,0.016311414539813995,0.0020389268174767494
337,67.12875000000001,0.07668723165988922,0.007668723352253437,0.00924567598849535,0.0023114189971238375,28066390016.0,175414944.0,-100267.47443621303,0.5681140353853633,5555977,0.0008987394976429641,0.00012839135888498276,14.277064323425293,0.47590214014053345,0.02038961462676525,0.002038961509242654
337,67.12875000000001,0.07969421148300171,0.007969421334564686,0.009561775252223015,0.0023904438130557537,28754749440.0,175333840.0,-100267.83711372294,0.5680006489851478,5555977,0.0009495182894170284,0.0001356454740744084,17.131797790527344,0.47588327527046204,0.02446703240275383,0.0020389193668961525
337,67.12875000000001,0.08065982162952423,0.008065981790423393,0.009851123206317425,0.002462780801579356,29496182784.0,175572512.0,-100268.0527654615,0.5676278422245804,5555977,0.0009567434899508953,0.00013667764142155647,19.98666000366211,0.47587284445762634,0.028544897213578224,0.0020389212295413017
337,67.12875000000001,0.07404299825429916,0.007404299918562174,0.00924704223871231,0.0023117605596780777,30195736576.0,175556608.0,-100266.71525018285,0.5679564727915813,5555977,0.0008398666977882385,0.0001199809557874687,22.835264205932617,0.475734680891037,0.032621800899505615,0.002038862556219101
